timestamp,Interface Gi1/1(Valmet DNA Chain connection): Bits received,Interface Gi1/1(Valmet DNA Chain connection): Bits sent,Interface Gi1/1(Valmet DNA Chain connection): Operational status,Interface Gi1/10(Valmet DNA access): Bits received,Interface Gi1/10(Valmet DNA access): Bits sent,Interface Gi1/10(Valmet DNA access): Operational status,Interface Gi1/2(Valmet DNA Chain connection): Bits received,Interface Gi1/2(Valmet DNA Chain connection): Bits sent,Interface Gi1/2(Valmet DNA Chain connection): Operational status,Interface Gi1/3(Valmet DNA access): Bits received,Interface Gi1/3(Valmet DNA access): Bits sent,Interface Gi1/3(Valmet DNA access): Operational status,Interface Gi1/4(Valmet DNA access): Bits received,Interface Gi1/4(Valmet DNA access): Bits sent,Interface Gi1/4(Valmet DNA access): Operational status,Interface Gi1/5(Valmet DNA access): Bits received,Interface Gi1/5(Valmet DNA access): Bits sent,Interface Gi1/5(Valmet DNA access): Operational status,Interface Gi1/6(Valmet DNA access): Bits received,Interface Gi1/6(Valmet DNA access): Bits sent,Interface Gi1/6(Valmet DNA access): Operational status,Interface Gi1/7(Valmet DNA access): Bits received,Interface Gi1/7(Valmet DNA access): Bits sent,Interface Gi1/7(Valmet DNA access): Operational status,Interface Gi1/8(Valmet DNA access): Bits received,Interface Gi1/8(Valmet DNA access): Bits sent,Interface Gi1/8(Valmet DNA access): Operational status,Interface Gi1/9(Valmet DNA access): Bits received,Interface Gi1/9(Valmet DNA access): Bits sent,Interface Gi1/9(Valmet DNA access): Operational status
2025-08-19 10:11:00+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-19 10:12:00+03:00,555136.0,4468504.0,1.0,249736.0,1783480.0,1.0,5112.0,1726536.0,1.0,51032712.0,2704496.0,1.0,2792480.0,48623320.0,1.0,1228056.0,17939048.0,1.0,16551360.0,2895232.0,1.0,344384.0,1791976.0,1.0,355288.0,1770424.0,1.0,381416.0,1853744.0,1.0
2025-08-19 10:13:00+03:00,550366.4,4810438.4,1.0,256820.8,2026848.0,1.0,5113.6,1974628.8,1.0,51067844.8,2964676.8,1.0,2778387.2,48923379.2,1.0,1239566.4,18450044.8,1.0,16824664.0,3141587.2,1.0,349723.2,2040000.0,1.0,312678.4,2008843.2,1.0,419624.0,2101462.4,1.0
2025-08-19 10:14:00+03:00,545596.8,5152372.8,1.0,263905.6,2270216.0,1.0,5115.2,2222721.6,1.0,51102977.6,3224857.6,1.0,2764294.4,49223438.4,1.0,1251076.8,18961041.6,1.0,17097968.0,3387942.4,1.0,355062.4,2288024.0,1.0,270068.8,2247262.4,1.0,457832.0,2349180.8,1.0
2025-08-19 10:15:00+03:00,540827.2,5494307.2,1.0,270990.4,2513584.0,1.0,5116.8,2470814.4,1.0,51138110.4,3485038.4,1.0,2750201.6,49523497.6,1.0,1262587.2,19472038.4,1.0,17371272.0,3634297.6,1.0,360401.6,2536048.0,1.0,227459.2,2485681.6,1.0,496040.0,2596899.2,1.0
2025-08-19 10:16:00+03:00,536057.6,5836241.6,1.0,278075.2,2756952.0,1.0,5118.4,2718907.2,1.0,51173243.2,3745219.2,1.0,2736108.8,49823556.8,1.0,1274097.6,19983035.2,1.0,17644576.0,3880652.8,1.0,365740.8,2784072.0,1.0,184849.6,2724100.8,1.0,534248.0,2844617.6,1.0
2025-08-19 10:17:00+03:00,531288.0,6178176.0,1.0,285160.0,3000320.0,1.0,5120.0,2967000.0,1.0,51208376.0,4005400.0,1.0,2722016.0,50123616.0,1.0,1285608.0,20494032.0,1.0,17917880.0,4127008.0,1.0,371080.0,3032096.0,1.0,142240.0,2962520.0,1.0,572456.0,3092336.0,1.0
2025-08-19 10:18:00+03:00,533761.6,5487454.4,1.0,279008.0,2416180.8,1.0,5112.0,2383865.6,1.0,51243068.8,3762142.4,1.0,2745057.6,50156281.6,1.0,1263928.0,19614475.2,1.0,17606932.8,3535222.4,1.0,349000.0,2447648.0,1.0,136912.0,2381558.4,1.0,498555.2,2501387.2,1.0
2025-08-19 10:19:00+03:00,536235.2,4796732.8,1.0,272856.0,1832041.5999999999,1.0,5104.0,1800731.2,1.0,51277761.6,3518884.8,1.0,2768099.2,50188947.2,1.0,1242248.0,18734918.4,1.0,17295985.6,2943436.8,1.0,326920.0,1863200.0,1.0,131584.0,1800596.8,1.0,424654.4,1910438.4,1.0
2025-08-19 10:20:00+03:00,538708.8,4106011.2,1.0,266704.0,1247902.4,1.0,5096.0,1217596.7999999998,1.0,51312454.4,3275627.2,1.0,2791140.8,50221612.8,1.0,1220568.0,17855361.6,1.0,16985038.4,2351651.2,1.0,304840.0,1278752.0,1.0,126256.0,1219635.2,1.0,350753.6,1319489.5999999999,1.0
